,County,Crime_Count,tax_rate,lat,lng,SummativeRating,SummativeScore
0,ATLANTIC,227.93809523809526,2.8237826089999998,39.4431,-74.61701364,31.64016949,37.06915254
1,BERGEN,299.97836134453763,2.295671429,40.92987705,-74.04464262,69.27294372,64.97935065
2,BURLINGTON,116.53392857142856,2.74475,39.98640556,-74.76062222,45.2315,46.8643
3,CAMDEN,260.53836734693886,3.90727027,39.866367499999996,-75.03034749999999,39.01705426,41.72379845
4,CAPE MAY,560.5173469387755,1.27775,39.05300909,-74.83048636,33.19409091,38.47136364
5,CUMBERLAND,303.3607142857144,3.165428571,39.40166,-75.14281,18.81473684,26.44684211
6,ESSEX,125.6987012987013,2.950909091,40.80367273,-74.23671818,44.527326200000005,46.06614973
7,GLOUCESTER,139.12083333333334,3.5162083330000002,39.75397368,-75.14989474,44.75411765,46.80264706
8,HUDSON,153.0857142857143,2.0743333330000002,40.75011,-74.07581,43.17176471,46.07901961
9,HUNTERDON,44.05446428571428,2.679115385,40.58042727,-74.9402,61.64925,58.4345
10,MERCER,103.07261904761903,3.030166667,40.26576923,-74.67112308,45.80394737,47.01184211
11,MIDDLESEX,101.45885714285716,2.5884400000000003,40.45995429,-74.39999714,50.36576923,50.82987179
12,MONMOUTH,160.86909620991256,1.889886792,40.2856,-74.1023807,56.04831081,54.92135135
13,MORRIS,73.95860805860808,2.309717949,40.88611905,-74.51422381,71.873125,66.5065625
14,OCEAN,175.74330357142847,1.809454545,39.89861395,-74.21142791,37.42680412,42.08938144
15,PASSAIC,110.53193277310923,3.1260625,40.94945,-74.21388571,39.48130081,42.42284553
16,SALEM,204.8476190476191,3.4664,39.62054286,-75.3546,39.46409091,41.55772727
17,SOMERSET,96.31428571428575,2.338809524,40.52062647,-74.58056471,61.59166667,58.92763889
18,SUSSEX,46.2940476190476,2.937625,41.09454667,-74.64102667,46.30216216,48.16216216
19,UNION,117.30340136054423,3.613380952,40.65773846,-74.31702308,53.33048611,53.45118056
20,WARREN,114.53877551020406,3.016227273,40.79450937,-75.02623125,50.42242424,50.62030303
