COUNTY_NAME,SummativeRating,SummativeScore
ATLANTIC,31.640169491525416,37.06915254237288
BERGEN,69.27294372294372,64.97935064935065
BURLINGTON,45.2315,46.8643
CAMDEN,39.017054263565896,41.72379844961241
CAPE MAY,33.19409090909091,38.47136363636364
CHARTERS,47.513552631578946,47.99934210526317
CUMBERLAND,18.81473684210527,26.44684210526316
ESSEX,44.52732620320855,46.066149732620325
GLOUCESTER,44.754117647058806,46.8026470588235
HUDSON,43.17176470588236,46.07901960784315
HUNTERDON,61.649249999999995,58.4345
MERCER,45.80394736842104,47.01184210526317
MIDDLESEX,50.365769230769224,50.829871794871806
MONMOUTH,56.04831081081082,54.921351351351355
MORRIS,71.87312499999997,66.50656249999996
OCEAN,37.42680412371133,42.08938144329896
PASSAIC,39.48130081300813,42.42284552845528
SALEM,39.46409090909091,41.55772727272727
SOMERSET,61.59166666666668,58.92763888888888
SUSSEX,46.30216216216216,48.162162162162154
UNION,53.33048611111113,53.45118055555556
WARREN,50.42242424242424,50.620303030303035
